name,calories,protein_g,carbs_g,fat_g,fibre_g,food_group,diet_type,source
"Ginger, fresh",230,1.9,9,0.9,5.4,"Condiments and Spices","non-vegetarian","IFCT2017"
"Mango ginger",177,1.4,7,0.7,4.7,"Condiments and Spices","non-vegetarian","IFCT2017"
"Mint leaves",155,4.3,2.4,0.7,5.9,"Condiments and Spices","non-vegetarian","IFCT2017"
"Onion, big",201,1.2,9.6,0.2,2.5,"Condiments and Spices","non-vegetarian","IFCT2017"
"Onion, small",237,1.8,11.6,0.2,1.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Asafoetida",1387,5.9,72,1.3,5.1,"Condiments and Spices","non-vegetarian","IFCT2017"
"Cardamom, green",1067,7.4,47.8,2.6,23.1,"Condiments and Spices","non-vegetarian","IFCT2017"
"Cardamom, black",1132,5.8,52.5,2.8,23.5,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, red",990,11.9,29.5,6.4,31.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Cloves",781,5.1,18.7,8.4,34.5,"Condiments and Spices","non-vegetarian","IFCT2017"
"Coriander seeds",1125,10.1,13,17.5,44.8,"Condiments and Spices","non-vegetarian","IFCT2017"
"Cumin seeds",1274,13.5,22.6,16.6,30.4,"Condiments and Spices","non-vegetarian","IFCT2017"
"Fenugreek seeds",983,23.8,10.6,5.7,47.6,"Condiments and Spices","non-vegetarian","IFCT2017"
"Mace",1488,5.3,26.5,24.4,20.3,"Condiments and Spices","non-vegetarian","IFCT2017"
"Nutmeg",1940,5.3,27.6,36.5,12,"Condiments and Spices","non-vegetarian","IFCT2017"
"Omum",1495,14.2,24.5,21.1,20.6,"Condiments and Spices","non-vegetarian","IFCT2017"
"Pippali",906,9.9,35.7,2.3,34.1,"Condiments and Spices","non-vegetarian","IFCT2017"
"Pepper, black",910,8.6,36.2,2.7,33.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Poppy seeds",1768,22.1,12.4,30.4,26.7,"Condiments and Spices","non-vegetarian","IFCT2017"
"Turmeric powder",1174,6.9,49.2,5,21.4,"Condiments and Spices","non-vegetarian","IFCT2017"
"Almond",2549,18.3,3,58.5,13.1,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Arecanut, dried, brown",1467,4.8,70.4,4.4,11.4,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Arecanut, dried, red color",1477,5.9,70.3,4.5,11.1,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Arecanut, fresh",1024,2.4,45,5.5,7.6,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Cashew nut",2438,18.6,25.5,45.2,3.9,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Coconut, kernal, dry",2611,7.2,8,63.3,15.9,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Coconut, kernel, fresh",1711,3.9,6.3,41.4,10.4,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Garden cress, seeds",1863,23,33.7,23.7,8.3,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Gingelly seeds, black",2124,18.9,10.3,43.1,17.2,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Gingelly seeds, brown",2161,20.9,9.8,43.2,17.2,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Gingelly seeds, white",2174,21.3,10.8,43.1,17,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Ground nut",2176,22.8,17.3,39.6,10.4,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Mustard seeds",2132,18.2,16.8,40.2,14.1,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Linseeds",1857,18.9,11,35.7,26.2,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Niger seeds, black",2144,17.7,23,38.6,10.9,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Niger seeds, gray",2128,17.5,20.6,39.5,11,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Pine seed",2486,12.1,26.8,48.8,3.8,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Pistachio nuts",2257,22.2,15.8,42.5,10.6,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Safflower seeds",1981,16.9,30.2,30.9,13.5,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Sunflower seeds",2453,23.1,6.9,51.9,10.8,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Walnut",2809,15,10.1,64.3,5.4,"Nuts and Oil Seeds","non-vegetarian","IFCT2017"
"Jaggery, cane",1480,1.5,84.9,0.2,0,"Sugars","non-vegetarian","IFCT2017"
"Sugarcane, juice",242,0.1,13.1,0.4,0.6,"Sugars","non-vegetarian","IFCT2017"
"Button mushroom, fresh",115,3.4,2,0.4,3.1,"Mushrooms","non-vegetarian","IFCT2017"
"Chicken mushroom, fresh",89,1.8,2.8,0.3,2,"Mushrooms","non-vegetarian","IFCT2017"
"Shiitake mushroom, fresh",243,3.1,9,0.8,3,"Mushrooms","non-vegetarian","IFCT2017"
"Oyster mushroom, dried",1019,18.9,33.1,2.9,39.1,"Mushrooms","non-vegetarian","IFCT2017"
"Toddy",101,0,5.7,0,0,"Miscellaneous Foods","non-vegetarian","IFCT2017"
"Coconut Water",64,0.3,3.2,0.2,0,"Miscellaneous Foods","non-vegetarian","IFCT2017"
"Milk, whole, Buffalo",449,3.5,8.4,6.6,0,"Milk and Milk Products","non-vegetarian","IFCT2017"
"Milk, whole, Cow",305,3.4,4.9,4.5,0,"Milk and Milk Products","non-vegetarian","IFCT2017"
"Paneer",1079,18.9,12.4,14.8,0,"Milk and Milk Products","non-vegetarian","IFCT2017"
"Khoa",1322,16,16.5,20.6,0,"Milk and Milk Products","non-vegetarian","IFCT2017"
"Egg, poultry, whole, raw",564,13.5,107,9.2,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, white, raw",187,11.2,35,0.1,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, yolk, raw",1242,16.2,235,26.3,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, whole, boiled",618,13.6,117,10.5,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, white, boiled",220,12.6,42,0.3,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, yolk, boiled",1290,16.2,244,27.5,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, poultry, omlet",710,16.8,135,11.6,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, country hen, whole, raw",704,13.2,134,13,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, country hen, whole, boiled",767,14.6,145,14.1,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, country hen, omlet",855,14.6,162,16.3,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, duck, whole, boiled",738,13.6,140,13.6,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, duck, whole, raw",760,14.8,144,13.8,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, duck, whole, omlet",804,14.8,153,14.8,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, quial, whole, raw",635,12.3,121,11.5,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Egg, quial, whole, boiled",647,12.7,123,11.5,0,"Egg and Egg Products","non-vegetarian","IFCT2017"
"Chicken, poultry, leg, skinless",1605,19.1,354,12.6,0,"Poultry","non-vegetarian","IFCT2017"
"Chicken, poultry, thigh, skinless",836,18,159,14.2,0,"Poultry","non-vegetarian","IFCT2017"
"Chicken, poultry, breast, skinless",704,22,134,9,0,"Poultry","non-vegetarian","IFCT2017"
"Chicken, poultry, wing, skinless",807,17.1,154,13.8,0,"Poultry","non-vegetarian","IFCT2017"
"Poultry, chicken, liver",518,21.8,99,4.1,0,"Poultry","non-vegetarian","IFCT2017"
"Poultry, chicken, gizzard",386,18.1,74,2.1,0,"Poultry","non-vegetarian","IFCT2017"
"Country hen, leg, with skin",723,16.8,138,11.7,0,"Poultry","non-vegetarian","IFCT2017"
"Country hen, thigh, with skin",785,18.6,149,12.8,0,"Poultry","non-vegetarian","IFCT2017"
"Country hen, breast, with skin",753,22.6,143,10.2,0,"Poultry","non-vegetarian","IFCT2017"
"Country hen, wing, with skin",764,18.9,145,12.1,0,"Poultry","non-vegetarian","IFCT2017"
"Duck, meat, with skin",547,19.4,104,6,0,"Poultry","non-vegetarian","IFCT2017"
"Emu, meat, skinless",556,22.8,106,4.6,0,"Poultry","non-vegetarian","IFCT2017"
"Guinea fowl, meat, with skin",469,19.8,90,3.2,0,"Poultry","non-vegetarian","IFCT2017"
"Pigeon, meat, with skin",528,17.4,101,6,0,"Poultry","non-vegetarian","IFCT2017"
"Quail, meat, skinless",576,20.9,110,6,0,"Poultry","non-vegetarian","IFCT2017"
"Turkey, leg, with skin",647,20.2,123,8.2,0,"Poultry","non-vegetarian","IFCT2017"
"Turkey, thigh, with skin",581,20.6,110,6.3,0,"Poultry","non-vegetarian","IFCT2017"
"Turkey, breast, with skin",671,22,128,8,0,"Poultry","non-vegetarian","IFCT2017"
"Turkey, wing, with skin",771,22.3,146,10.8,0,"Poultry","non-vegetarian","IFCT2017"
"Goat, shoulder, meat",787,20.1,150,11.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, chops",568,19.6,109,6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, legs",669,21.9,127,7.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, brain",533,13.4,102,8.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, tongue",789,15.5,151,13.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, lungs",401,15.8,77,3.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, heart",492,18.4,95,4.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, liver",526,19.1,101,4.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, tripe",386,14.5,74,3.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, spleen",401,17.8,77,2.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, kidneys",374,15.4,72,2.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, tube (small intestine)",525,12.5,100,8.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Goat, testis",298,12.2,57,2.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, shoulder",840,18.3,160,14.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, chops",496,17.4,95,5.2,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, leg",686,21.3,131,8.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, brain",492,12.4,94,7.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, tongue",783,15.6,150,13.5,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, lungs",363,14.8,70,2.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, heart",445,17.3,86,3.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, liver",559,20,109,4.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, tripe",435,15.8,84,4.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, spleen",384,15.7,74,3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Sheep, kidneys",384,15.5,74,2.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, shoulder",889,20.3,169,14.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, chops",585,19.6,112,6.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, round (leg)",658,22.4,126,7.4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, brain",523,10,100,9.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, tongue",731,14.8,140,12.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, lungs",351,14.9,68,2.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, heart",433,17.1,83,3.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, liver",499,19.4,96,4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, tripe",316,12.5,61,2.5,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, spleen",378,16.3,73,2.2,0,"Animal Meat","non-vegetarian","IFCT2017"
"Beef, kidneys",439,16.3,84,4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, shoulder",633,18.9,123,7.5,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, chops",524,21.7,101,3.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, round (leg)",615,21.1,117,6.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, brain",448,9.2,86,7.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, tongue",737,16.5,141,11.8,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, heart",459,17.6,89,3.8,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, liver",503,19.6,97,4,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, spleen",379,17.3,73,2.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Calf, kidneys",387,14.8,74,3.5,0,"Animal Meat","non-vegetarian","IFCT2017"
"Mithun, shoulder",736,19.2,140,11.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Mithun, chops",536,18.1,102,6.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Mithun, round (leg)",485,19.1,93,4.1,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, shoulder",993,16.4,189,18.8,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, chops",748,19.1,142,11.3,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, ham",1006,18.9,191,18.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, lungs",358,14.4,69,2.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, heart",457,16.2,87,4.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, liver",484,18.9,93,3.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, stomach",550,15.1,105,7.8,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, spleen",357,14.5,69,2.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, kidneys",379,14.1,72,3.7,0,"Animal Meat","non-vegetarian","IFCT2017"
"Pork, tube (small intestine)",587,14.9,112,9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Hare, shoulder",603,21.5,114,6.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Hare, chops",445,20.8,85,2.6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Hare, leg",503,20.6,96,4.2,0,"Animal Meat","non-vegetarian","IFCT2017"
"Rabbit, shoulder",635,20,121,8,0,"Animal Meat","non-vegetarian","IFCT2017"
"Rabbit, chops",565,22.8,107,4.9,0,"Animal Meat","non-vegetarian","IFCT2017"
"Rabbit, leg",584,21.5,111,6,0,"Animal Meat","non-vegetarian","IFCT2017"
"Allathi",406,21.6,78,1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Aluva",434,21.4,83,1.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Anchovy",367,18.7,71,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Ari fish",415,21.7,80,1.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Betki",284,15.2,55,0.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Black snapper",377,19.6,72,1.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Bombay duck",287,13.4,56,1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Bommuralu",485,21.8,93,2.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Cat fish",456,21.4,88,2.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Chakla",406,19.7,78,1.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Chappal",317,17.2,60,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Chelu",366,19.8,70,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Chembali",406,20.1,77,1.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Eri meen",454,22.5,86,2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Gobro",362,18.9,70,0.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Guitar fish",400,22.4,77,0.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Hilsa",1083,20,209,18.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Jallal",420,21.4,80,1.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Jathi vela meen",453,22,87,1.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kadal bral",368,17.7,71,1.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kadali",530,22,101,4.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kalamaara",523,20.7,100,4.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kalava",374,19.2,72,1.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kanamayya",367,20,70,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kannadi paarai",423,21.3,82,1.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Karimeen",386,19.6,74,1.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Karnagawala",363,19.3,70,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kayrai",454,19.1,88,3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kiriyan",556,22.3,106,4.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kite fish",413,23,79,0.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Korka",528,22.1,102,3.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Kulam paarai",501,21.3,96,3.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Maagaa",366,20.1,70,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Mackerel",423,20.7,82,1.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Manda clathi",398,20.9,76,1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Matha",389,21.4,74,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Milk fish",442,23.7,84,1.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Moon fish",526,20.7,100,4.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Mullet",393,20,75,1.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Mural",345,19,66,0.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Myil meen",410,22.1,79,0.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Nalla bontha",364,19.3,70,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Narba",432,21.8,83,1.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Paarai",435,21.5,83,1.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Padayappa",360,20,68,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pali kora",394,18.5,76,1.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pambada",537,21.7,103,4.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pandukopa",360,19.6,69,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Parava",467,19.7,91,2.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Parcus",361,19.7,69,0.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Parrot fish",375,20.8,72,0.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Perinkilichai",387,20.8,74,0.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Phopat",424,21.5,82,1.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Piranha",549,20.5,105,5.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pomfret, black",515,19.1,99,4.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pomfret, snub nose",375,20.3,72,0.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pomfret, white",513,19.2,98,5.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pranel",405,19.8,77,1.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Pulli paarai",399,19.9,76,1.6,0,"Marine Fish","non-vegetarian","IFCT2017"
"Queen fish",400,19.5,78,1.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Raai fish",430,21.3,82,1.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Raai vanthu",410,19.3,78,2.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Rani",377,18.9,72,1.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Ray fish, bow head, spotted",349,18.6,67,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Red snapper",437,22.6,84,1.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Red snapper, small",451,21.1,86,2.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Sadaya",462,20.3,88,3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Salmon",721,20.8,137,9.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Sangada",443,19.8,85,2.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Sankata paarai",434,21.6,83,1.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Sardine",637,18.1,121,9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Shark",398,21.2,76,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Shark, hammer head",432,22.8,83,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Shark, spotted",384,20.8,74,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Shelavu",446,21.8,86,1.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Silan",633,22.1,121,6.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Silk fish",408,19.9,79,1.5,0,"Marine Fish","non-vegetarian","IFCT2017"
"Silver carp",555,21.7,105,5.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Sole fish",367,18.9,70,1.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Stingray",408,22.6,78,0.7,0,"Marine Fish","non-vegetarian","IFCT2017"
"Tarlava",414,21.1,80,1.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Tholam",432,20.2,83,2.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Tilapia",349,18.7,66,1.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Tuna",470,23.9,90,1.4,0,"Marine Fish","non-vegetarian","IFCT2017"
"Tuna, striped",403,21.3,77,1.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Valava",410,21.7,78,1.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Vanjaram",570,22,109,5.2,0,"Marine Fish","non-vegetarian","IFCT2017"
"Vela meen",537,21.8,103,4.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Vora",422,19.6,81,2.1,0,"Marine Fish","non-vegetarian","IFCT2017"
"Whale shark",401,21.9,77,0.8,0,"Marine Fish","non-vegetarian","IFCT2017"
"Xiphinis",370,19.2,71,0.9,0,"Marine Fish","non-vegetarian","IFCT2017"
"Eggs, Cat fish",600,24.6,114,5.3,0,"Marine Fish","non-vegetarian","IFCT2017"
"Crab",343,8.7,74,1.4,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Crab, sea",283,15,54,0.6,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Lobster, brown",292,16.4,55,0.6,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Lobster, king size",375,18,74,0.8,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Mud crab",190,9.3,37,0.6,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Oyster",252,9.2,48,2.4,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Tiger prawns, brown",273,14.2,53,0.6,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Tiger Prawns, orange",270,13.3,53,0.7,0,"Marine Shellfish","non-vegetarian","IFCT2017"
"Clam, green shell",243,11.3,47,1,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Clam, white shell, ribbed",250,10.9,49,1.3,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Octopus",334,14.9,66,1.1,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Squid, black",335,15.9,65,1.1,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Squid, hard shell",320,15.3,63,0.9,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Squid, red",329,16.5,63,1.4,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Squid, white, small",353,15.5,70,1.2,0,"Marine Mollusks","non-vegetarian","IFCT2017"
"Catla",394,17.6,76,2.2,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Freshwater Eel",451,16.3,90,2.6,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Gold fish",396,16.4,76,2.9,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Pangas",852,32.4,143,16.8,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Rohu",428,19.2,82,2.4,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Prawns, big",380,18.1,76,0.5,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Prawns, small",297,12.5,60,0.8,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Tiger prawns",284,13.3,56,0.7,0,"Fresh Water Fish and Shellfish","non-vegetarian","IFCT2017"
"Hot tea (Garam Chai)",16,0.4,2.6,0.5,0,"Beverages","vegetarian","INDB_Kaggle"
"Instant coffee",23,0.6,3.7,0.8,0,"Beverages","vegetarian","INDB_Kaggle"
"Espreso coffee",52,1.8,6.6,2.1,0,"Beverages","vegetarian","INDB_Kaggle"
"Iced tea",10,0,2.7,0,0,"Beverages","vegetarian","INDB_Kaggle"
"Raw mango drink (Aam panna)",36,0.2,9.1,0,0.6,"Fruits","vegetarian","INDB_Kaggle"
"Fruit Punch (with fresh juices)",36,0.1,9.4,0,0.1,"Beverages","vegetarian","INDB_Kaggle"
"Fruit Punch (with squashes)",23,0.1,6,0,0.2,"Fruits","vegetarian","INDB_Kaggle"
"Lemonade",21,0,5.5,0,0,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Lem-o-gin",22,0.1,5.6,0,0.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cumin infused water (Jeere/Zeere ka pani)",9,0.2,1.9,0.1,0.5,"Beverages","vegetarian","INDB_Kaggle"
"Coco pine cooler",33,0.6,5.7,1,0.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Summer cooler",22,0.4,5.4,0,0.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Hot cocoa",90,3.4,9.2,4.6,0,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cold coffee with ice cream",68,1.6,11.2,2.1,0,"Beverages","vegetarian","INDB_Kaggle"
"Banana milkshake (Kele milkshake)",65,1.8,9.2,2.4,0.3,"Beverages","vegetarian","INDB_Kaggle"
"Mango milkshake (Aam milkshake)",57,1.7,7.2,2.4,0.3,"Beverages","vegetarian","INDB_Kaggle"
"Pineapple milkshake (Ananas milkshake)",56,1.7,7.6,2.2,0,"Beverages","vegetarian","INDB_Kaggle"
"Orange milkshake (Narangi milkshake)",57,1.9,7.1,2.5,0,"Beverages","vegetarian","INDB_Kaggle"
"Egg nog",97,4.8,8.2,5.1,0,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
